event_id,visible,timestamp,location_long,location_lat,external_temperature,gps:hdop,gps:satellite_count,height_above_ellipsoid,tag_tech_spec,sensor_type,individual_taxon_canonical_name,tag_local_identifier,individual_local_identifier,study_name
32050679202,TRUE,14/08/2022 09:00,9.90696,46.79884,35,2,6,2032.52,06:06,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050679872,TRUE,14/08/2022 09:45,9.90794,46.79878,37,1.3,7,2089.47,07:07,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050680203,TRUE,14/08/2022 10:00,9.90873,46.79854,37.5,1.7,6,2128.9,06:06,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050680435,TRUE,14/08/2022 10:15,9.90921,46.79776,38,1.8,5,2153.44,05:06,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050680382,TRUE,14/08/2022 10:45,9.90907,46.79855,38.5,1.3,7,2131.04,07:08,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050680248,TRUE,14/08/2022 11:00,9.90879,46.79844,39,2.2,5,2066.33,05:06,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050680393,TRUE,14/08/2022 11:15,9.90909,46.79854,39,2.2,5,2124.61,05:06,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050679768,TRUE,14/08/2022 11:45,9.90769,46.7999,38,2.2,6,2148.18,06:07,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050679302,TRUE,14/08/2022 12:00,9.90719,46.80009,39,2.9,6,2182.02,06:06,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050679951,TRUE,14/08/2022 12:15,9.9082,46.79849,39,1.6,6,2110.62,06:07,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050679964,TRUE,14/08/2022 12:30,9.90824,46.79862,41.5,2.7,5,2124.69,05:05,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050678498,TRUE,14/08/2022 12:45,9.90408,46.79359,36.5,1.6,7,1989.21,07:07,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050677929,TRUE,14/08/2022 13:00,9.90129,46.79411,33.5,1.3,7,2024.03,07:07,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050677926,TRUE,14/08/2022 13:15,9.90126,46.79419,36.5,1.4,6,2018.18,06:06,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050679005,TRUE,14/08/2022 13:45,9.90618,46.79792,36,1.3,8,2026.19,08:08,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050679417,TRUE,14/08/2022 14:00,9.90731,46.79804,38,1.6,6,1845.14,06:06,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050679861,TRUE,15/08/2022 09:30,9.90791,46.79979,38,1.4,6,2110.24,06:06,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050679994,TRUE,15/08/2022 10:30,9.90833,46.7986,36.5,1.3,6,2093.34,06:07,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050679774,TRUE,15/08/2022 10:45,9.90771,46.7988,37,1.9,7,2101.59,07:08,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050679927,TRUE,15/08/2022 11:00,9.90811,46.7989,36.5,1.7,6,2109.57,06:07,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050679960,TRUE,15/08/2022 11:15,9.90823,46.79848,39,1.3,7,2107.97,07:08,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050680470,TRUE,15/08/2022 11:45,9.90936,46.79876,36.5,2,7,2121.27,07:07,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050680375,TRUE,15/08/2022 12:00,9.90905,46.79868,39,1.8,7,2129.73,07:08,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050680367,TRUE,15/08/2022 12:15,9.90903,46.79866,40.5,1.3,7,2129.74,07:08,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050680323,TRUE,15/08/2022 12:45,9.90893,46.79901,39.5,2.3,5,2117.64,05:05,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050677910,TRUE,15/08/2022 13:00,9.90108,46.79465,37,1.5,6,1994.29,06:06,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050677968,TRUE,15/08/2022 13:15,9.90165,46.79402,23.5,1.6,6,1997.53,06:06,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050677927,TRUE,15/08/2022 13:30,9.90128,46.79432,29,1.9,6,2000.21,06:06,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050678922,TRUE,15/08/2022 13:45,9.90592,46.79757,29,1.3,7,1952.28,07:07,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
32050678975,TRUE,15/08/2022 14:00,9.90609,46.79785,32.5,1.3,8,2049.97,08:08,gps,Nucifraga caryocatactes,6000,K96941,Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)
